timestamp,rpm,temperature,vibration
0,694.59,86.64,2.85
1,660.09,85.61,3.58
2,667.81,86.05,2.81
3,695.93,86.74,3.19
4,697.85,86.59,3.8
5,694.0,84.86,3.52
6,723.58,85.21,3.07
7,700.46,85.96,3.62
8,691.77,86.42,3.27
9,668.95,85.8,3.06
10,674.12,86.01,2.75
11,705.84,84.47,2.98
12,723.47,86.63,3.8
13,687.21,84.71,3.26
14,696.49,82.17,2.95
15,701.4,85.87,4.01
16,692.53,85.3,4.07
17,687.64,87.51,3.18
18,705.27,85.33,3.0
19,722.74,86.08,3.83
20,700.01,84.8,3.18
21,666.89,83.83,2.71
22,716.76,84.21,3.81
23,690.57,84.91,2.62
24,716.03,87.79,2.48
25,702.28,85.29,2.84
26,698.65,85.11,3.69
27,711.01,86.23,3.34
28,687.03,84.84,3.85
29,719.27,86.54,4.76
30,712.14,85.37,4.13
31,678.85,86.18,3.66
32,726.38,85.1,3.45
33,693.99,85.27,3.52
34,695.18,84.65,3.1
35,705.58,87.08,3.33
36,685.64,84.94,3.61
37,699.42,85.51,3.57
38,665.04,86.13,4.58
39,678.41,85.05,2.78
40,694.97,86.81,3.15
41,703.83,85.07,3.27
42,715.44,85.82,4.03
43,692.9,86.2,3.28
44,693.91,84.04,3.83
45,702.92,84.68,4.26
46,715.25,87.0,3.48
47,697.51,84.87,3.97
48,717.13,85.09,3.23
49,687.44,85.59,3.36
50,722.69,85.12,3.26
51,711.96,85.85,2.89
52,684.38,84.53,4.01
53,683.34,86.3,3.11
54,721.82,85.16,2.81
55,702.78,86.91,3.07
56,700.46,85.71,3.48
57,680.67,84.15,3.49
58,709.3,87.21,3.17
59,688.88,86.94,4.17
60,694.69,85.85,4.01
61,702.0,87.1,3.63
62,719.23,85.16,3.64
63,713.82,86.69,3.81
64,695.6,85.04,4.62
65,715.32,85.94,3.74
66,674.45,86.63,4.45
67,697.64,86.06,3.84
68,717.85,84.98,4.52
69,691.56,87.33,4.19
70,711.6,83.33,4.0
71,674.41,85.5,2.55
72,707.46,85.13,3.67
73,686.49,86.21,3.32
74,721.59,85.81,3.85
75,700.76,85.8,3.74
76,677.16,87.52,3.36
77,718.57,85.19,3.89
78,720.56,85.15,3.31
79,668.82,86.56,3.36
80,688.2,85.25,2.9
81,708.89,86.33,3.65
82,713.18,85.53,3.54
83,718.24,85.54,3.37
84,683.47,84.51,3.91
85,717.28,86.94,3.28
86,684.62,84.9,3.11
87,685.95,84.62,2.65
88,699.19,84.65,4.22
89,715.22,85.16,4.5
90,719.25,85.8,3.97
91,678.4,85.21,3.37
92,722.39,85.74,3.52
93,689.95,85.77,3.38
94,709.66,86.09,4.6
95,688.76,88.04,4.61
96,690.38,86.24,3.61
97,712.4,85.46,3.21
98,689.21,84.94,3.51
99,711.79,85.34,4.01
100,716.11,86.74,3.44
101,666.73,85.4,3.25
102,698.41,84.46,4.45
103,724.44,84.51,4.41
104,701.1,86.48,3.55
105,705.55,86.7,3.87
106,668.11,86.1,3.39
107,725.22,86.25,4.41
108,706.14,86.89,3.83
109,685.27,86.07,2.6
110,688.17,84.04,3.25
111,698.04,85.15,3.92
112,710.63,84.1,3.46
113,709.37,85.46,3.61
114,675.86,86.93,3.68
115,681.98,83.04,3.56
116,707.35,84.78,4.25
117,675.61,84.0,3.83
118,707.02,85.52,3.19
119,686.57,84.53,3.19
120,690.1,86.04,3.25
121,683.38,85.13,2.86
122,728.27,84.47,3.52
123,698.73,86.19,2.89
124,709.01,86.06,3.84
125,708.56,84.92,3.28
126,688.45,86.79,3.44
127,696.6,84.8,4.14
128,702.83,85.19,2.42
129,696.46,85.45,3.76
130,705.22,85.57,2.49
131,713.9,85.86,2.93
132,684.89,84.43,3.69
133,703.76,86.01,3.35
134,706.67,86.94,3.44
135,719.41,85.54,3.09
136,704.95,86.35,3.69
137,698.38,86.23,3.13
138,709.06,85.1,3.16
139,703.95,86.62,2.89
140,702.97,84.02,3.71
141,689.41,85.79,3.82
142,698.25,87.16,3.66
143,734.44,85.35,2.94
144,691.73,84.09,3.41
145,723.84,83.35,3.22
146,703.48,87.06,3.81
147,685.45,84.76,3.96
148,700.12,86.45,3.94
149,714.08,86.63,3.49
150,693.79,86.81,3.09
151,697.31,85.16,3.21
152,714.4,85.61,4.0
153,691.91,85.96,4.03
154,689.57,86.16,3.44
155,730.46,84.51,3.39
156,686.9,85.93,3.59
157,716.12,84.27,3.55
158,696.32,84.58,3.6
159,698.11,85.82,3.54
160,686.15,83.25,3.58
161,716.64,84.99,3.55
162,709.52,86.96,5.1
163,691.4,86.69,3.26
164,698.24,85.1,3.61
165,696.55,87.63,4.28
166,692.3,84.57,3.62
167,724.26,85.7,3.13
168,681.7,84.52,2.75
169,688.43,84.62,3.02
170,701.74,85.19,3.2
171,699.31,86.89,3.55
172,701.76,84.26,4.45
173,713.36,84.98,4.16
174,703.55,84.92,3.94
175,664.64,85.73,4.32
176,703.47,86.65,3.06
177,697.18,86.65,3.52
178,727.6,84.09,3.62
179,681.62,86.47,2.92
180,695.92,84.78,3.54
181,696.93,87.43,3.49
182,723.12,84.7,2.76
183,725.48,84.93,3.19
184,688.08,86.05,2.86
185,690.73,85.63,4.08
186,729.99,85.9,3.14
187,697.27,86.27,3.23
188,700.14,86.84,2.62
189,703.26,85.87,3.59
190,699.29,85.98,3.77
191,678.61,84.32,4.19
192,693.65,85.94,4.28
193,711.25,86.75,3.75
194,713.93,85.67,2.75
195,717.24,86.04,4.25
196,705.4,85.65,3.36
197,674.51,86.15,3.85
198,720.92,84.47,3.52
199,694.4,86.24,2.67
200,699.33,84.73,2.98
201,696.44,84.6,3.58
202,717.91,86.36,3.8
203,687.96,84.63,3.26
204,698.34,85.03,3.86
205,696.2,86.09,4.0
206,694.91,88.1,2.97
207,713.0,85.55,2.85
208,678.15,84.7,3.84
209,703.47,84.59,3.93
210,710.13,86.57,2.96
211,673.92,87.06,3.77
212,700.23,86.22,2.74
213,686.99,84.25,4.55
214,699.38,85.75,2.5
215,703.05,85.44,3.59
216,714.71,85.92,3.16
217,728.34,86.8,4.64
218,706.27,85.07,3.57
219,727.68,85.67,3.43
220,707.17,86.72,3.81
221,705.06,86.92,3.58
222,701.46,85.81,2.91
223,701.05,85.84,3.92
224,707.73,86.17,3.58
225,705.22,83.86,4.25
226,690.35,84.71,3.65
227,708.98,86.96,3.1
228,697.57,84.71,3.76
229,746.44,86.87,3.19
230,700.5,83.24,3.59
231,704.48,87.87,3.83
232,710.29,85.24,3.42
233,700.51,85.61,3.73
234,679.67,85.14,3.21
235,668.47,85.74,3.56
236,704.54,86.38,4.06
237,687.78,86.71,3.03
238,698.66,84.13,3.71
239,688.05,84.85,3.43
240,726.58,86.43,2.81
241,682.34,86.24,3.59
242,701.66,84.99,3.74
243,696.12,86.75,2.74
244,675.7,86.29,2.81
245,709.2,85.53,4.13
246,703.25,86.69,2.91
247,682.14,85.92,3.76
248,683.25,85.8,3.98
249,695.05,86.13,3.4
250,699.56,86.26,3.76
251,697.47,84.49,3.49
252,687.64,85.33,2.76
253,707.14,82.93,2.89
254,664.86,85.55,3.81
255,684.9,83.62,4.35
256,682.28,86.9,3.72
257,692.75,85.91,3.15
258,689.42,87.67,4.04
259,724.91,86.02,4.16
260,700.2,85.01,3.82
261,710.54,86.72,3.49
262,726.19,85.2,3.12
263,715.29,85.11,3.89
264,717.38,85.46,3.8
265,675.98,86.78,3.96
266,697.87,85.22,4.24
267,681.47,85.37,2.77
268,680.27,86.45,2.95
269,693.17,83.75,3.17
270,692.43,84.69,3.35
271,705.88,85.63,3.04
272,677.98,83.6,4.17
273,680.64,85.57,3.85
274,717.94,85.47,3.15
275,700.49,86.74,4.0
276,693.61,86.46,3.73
277,729.21,86.76,2.78
278,703.64,85.18,2.38
279,704.87,85.3,3.74
280,701.0,84.67,3.64
281,679.14,85.89,3.29
282,704.35,85.64,3.52
283,725.91,86.18,3.75
284,703.21,84.17,3.13
285,707.21,86.1,2.88
286,726.94,85.08,3.76
287,684.4,81.93,3.34
288,678.63,86.99,3.24
289,706.73,84.96,3.42
290,702.1,88.85,3.86
291,691.62,84.15,2.76
292,718.89,85.06,3.16
293,703.27,85.8,3.49
294,684.62,85.68,4.01
295,715.64,84.56,3.11
296,691.78,84.33,3.16
297,690.14,84.09,3.68
298,687.28,87.18,3.71
299,692.68,85.94,2.94
300,707.53,85.4,4.04
301,707.46,85.72,3.48
302,691.0,85.99,3.84
303,712.29,86.62,2.58
304,718.08,85.76,3.51
305,702.87,85.73,3.38
306,691.62,86.59,4.12
307,674.18,85.2,3.46
308,688.96,85.22,3.59
309,704.27,84.11,2.92
310,691.01,86.75,3.42
311,715.06,85.03,3.5
312,691.06,84.32,3.29
313,697.53,85.8,3.87
314,705.94,84.71,3.65
315,691.88,85.52,2.7
316,700.03,85.59,3.21
317,712.92,85.89,3.52
318,708.89,84.72,3.11
319,673.77,84.63,4.01
320,692.05,84.75,3.35
321,690.17,85.4,3.7
322,687.07,86.09,3.17
323,680.15,85.81,3.31
324,693.28,85.82,2.47
325,698.15,85.86,3.66
326,703.93,84.87,3.97
327,727.72,86.1,3.44
328,694.86,84.81,3.26
329,719.06,85.7,3.66
330,702.25,85.55,3.04
331,681.41,86.05,3.43
332,701.76,85.67,4.22
333,688.97,86.98,3.46
334,691.06,83.98,3.16
335,728.35,85.09,3.94
336,732.62,84.56,3.53
337,703.07,84.87,3.77
338,688.15,83.28,3.51
339,689.58,85.56,3.89
340,709.82,84.88,3.75
341,712.15,84.21,3.08
342,704.59,85.21,3.14
343,685.88,84.97,3.42
344,719.2,85.69,4.04
345,707.58,86.03,2.96
346,683.3,84.52,3.97
347,695.14,85.29,3.56
348,692.54,86.43,3.31
349,702.37,85.68,4.34
350,702.67,86.2,4.6
351,682.78,85.7,3.39
352,710.99,87.47,3.15
353,682.74,85.78,2.71
354,706.46,85.41,3.96
355,684.76,83.92,3.51
356,697.23,87.17,3.1
357,720.36,86.34,4.11
358,692.69,84.47,4.18
359,669.01,84.33,3.41
360,694.25,86.65,3.74
361,706.83,86.83,3.14
362,689.97,86.7,4.27
363,672.12,88.36,2.95
364,718.87,86.05,3.72
365,699.84,86.06,3.37
366,701.93,85.93,4.09
367,693.23,87.35,3.52
368,710.38,85.25,3.48
369,716.05,85.58,3.47
370,704.22,87.27,3.26
371,704.08,84.3,4.72
372,714.86,85.09,3.04
373,691.84,83.95,4.34
374,695.47,84.46,3.47
375,696.45,85.7,3.15
376,718.16,86.08,3.2
377,697.18,83.97,3.06
378,699.82,86.43,2.97
379,715.56,85.49,2.98
380,704.19,85.42,3.52
381,723.65,85.22,2.77
382,685.69,83.94,3.05
383,697.45,85.86,3.68
384,680.53,85.57,3.36
385,695.84,84.93,4.25
386,719.48,86.06,2.48
387,706.02,85.9,3.5
388,703.68,85.88,4.15
389,701.17,85.89,3.1
390,691.45,84.03,3.36
391,705.75,86.12,3.63
392,687.52,86.4,4.46
393,682.67,86.34,4.18
394,691.09,85.73,3.15
395,695.6,82.22,4.35
396,697.89,84.91,4.03
397,677.52,84.45,3.02
398,699.19,85.8,4.0
399,676.74,86.73,2.65
400,719.38,84.77,2.91
401,720.85,85.65,3.52
402,735.21,86.16,3.45
403,691.01,85.63,4.04
404,697.89,85.7,3.01
405,698.18,87.1,4.03
406,672.91,85.69,3.72
407,732.8,84.05,3.85
408,696.41,85.99,3.6
409,725.11,86.4,3.45
410,687.17,82.9,3.63
411,710.04,84.89,3.21
412,725.32,85.9,3.4
413,687.5,86.57,3.91
414,716.03,87.01,3.06
415,700.53,84.28,3.4
416,718.7,86.52,3.56
417,705.55,87.32,3.92
418,706.11,84.77,2.55
419,693.31,85.47,3.24
420,697.22,86.8,3.88
421,698.52,86.47,3.38
422,712.85,83.92,3.05
423,707.93,84.8,4.47
424,699.27,85.92,4.28
425,682.85,84.74,4.06
426,698.76,85.6,3.49
427,700.44,87.18,3.04
428,679.87,86.77,2.63
429,704.04,84.56,4.19
430,686.74,86.12,3.55
431,708.85,84.91,2.55
432,712.84,84.66,2.77
433,694.4,85.71,3.93
434,724.83,85.94,3.57
435,682.04,85.83,3.34
436,731.07,84.51,3.64
437,727.32,84.1,2.99
438,704.62,85.57,3.43
439,706.1,87.08,3.67
440,705.69,86.09,4.15
441,688.56,84.31,2.69
442,689.91,85.33,3.06
443,700.3,85.67,3.84
444,699.95,85.13,3.73
445,702.09,85.08,3.18
